Company,Image,employerprofile_employerrating_lq_zl,jobcard_seolink_r4hue_URL,Title,Location,Salary,Description,Salary1,mlxsm,Description2,dflex
Millennial Software5 ★,https://media.glassdoor.com/sql/8113263/millennial-software-squareLogo-1682522759057.png,5 ★,"https://www.glassdoor.com/job-listing/machine-learning-data-scientist-ts-sci-with-poly-100k-200k-15-401k-millennial-software-JV_KO0,66_KE67,86.htm?jl=1008841021673",Machine Learning Data Scientist TS/SCI with Poly $100K- $200k + 15% 401k,"McLean, VA",$100K - $200K (Employer est.),"Work will include high technical skill in programming, primarily python, and common data engineering tools, as well as high levels of collaboration,……",(Employer est.),Easy Apply,data,30d+
"Quality Insights,Inc3.5 ★",https://media.glassdoor.com/sql/429733/wvmi-squarelogo-1432625370254.png,3.5 ★,"https://www.glassdoor.com/job-listing/senior-statistician-quality-insights-inc-JV_KO0,19_KE20,40.htm?jl=1008868902322",Senior Statistician,"Charleston, WV",$66K - $98K (Glassdoor est.),A bachelor’s degree from accredited college or university in statistics or relevant discipline plus 10 years of full-time paid experience in statistical……,(Glassdoor est.),Easy Apply,,30d+
"PL Consulting, Inc.",https://media.glassdoor.com/sql/2192416/pl-consulting-va-squarelogo-1639126522050.png,,"https://www.glassdoor.com/job-listing/cyber-data-scientist-pl-consulting-inc-JV_KO0,20_KE21,38.htm?jl=1008869819432",Cyber Data Scientist,"Chantilly, VA",$180K - $195K (Employer est.),"Import and transform data into usable sets for analysis tools used by the customer (e.g., Tableau). Collaborate with RMG teams to develop means to integrate,……",(Employer est.),Easy Apply,data,30d+
"innoVet Health, LLC4 ★",https://media.glassdoor.com/sql/7575446/innovet-health-squarelogo-1660730851088.png,4 ★,"https://www.glassdoor.com/job-listing/senior-data-scientist-with-ai-and-ml-experience-innovet-health-llc-JV_KO0,47_KE48,66.htm?jl=1008843882991",Senior Data Scientist with AI and ML experience,Remote,$140K (Employer est.),"Please answer 2 if you are a US citizen, 1 if you have a valid green card, 0 if neither. Lead team in the application of operations research techniques and in……",(Employer est.),Easy Apply,,30d+
CAPITAL Services4.1 ★,https://media.glassdoor.com/sql/2092289/capital-services-squarelogo-1525932299764.png,4.1 ★,"https://www.glassdoor.com/job-listing/data-scientist-capital-services-JV_KO0,14_KE15,31.htm?jl=1008882782096",Data Scientist,"Sioux Falls, SD",$86K - $125K (Glassdoor est.),"Effective written and oral communication to both technical and non-technical teams. Completed a four-year degree in a quantitative field (Mathematics, Data……",(Glassdoor est.),Easy Apply,,30d+
Quiet Professionals LLC4.5 ★,https://media.glassdoor.com/sql/1174877/quiet-professionals-squarelogo-1560931964135.png,4.5 ★,"https://www.glassdoor.com/job-listing/data-scientist-quiet-professionals-llc-JV_KO0,14_KE15,38.htm?jl=1008728306030",Data Scientist,"Doral, FL",$160K (Employer est.),"Design, develop, and modify software systems, using scientific analysis and mathematical models to predict and measure outcome and consequences of design.…",(Employer est.),Easy Apply,,30d+
Flight Safety Foundation,,,"https://www.glassdoor.com/job-listing/senior-aviation-data-scientist-flight-safety-foundation-JV_KO0,30_KE31,55.htm?jl=1008905430111",Senior Aviation Data Scientist,"Alexandria, VA",$130K - $160K (Employer est.),"A Bachelors degree in a field relating to data science, modeling and operations research is required. Conduct webinars, roundtable discussions and presentations……",(Employer est.),Easy Apply,data,19d
DataAnnotation4.2 ★,,4.2 ★,"https://www.glassdoor.com/job-listing/software-engineer-ai-trainer-dataannotation-JV_KO0,28_KE29,43.htm?jl=1008856256410",Software Engineer - AI Trainer,Remote,$30.00 - $35.00 Per Hour (Employer est.),"Once approved, programming-specific projects may have their own assessments to assess your skill level and help you understand the type of work involved.…",(Employer est.),,,30d+
"Sancorp Consulting, LLC4 ★",https://media.glassdoor.com/sql/2338418/sancorp-consulting-squarelogo-1637068785910.png,4 ★,"https://www.glassdoor.com/job-listing/senior-data-analyst-sancorp-consulting-llc-JV_KO0,19_KE20,42.htm?jl=1008630168632",Senior Data Analyst,"Arlington, VA",$120K (Employer est.),"Three (3) years’ experience data engineering either developing or maintaining databases such as CMIS, DCPDS, ADVANA and other similar tools for DoD.…",(Employer est.),Easy Apply,data,30d+
Drax Group3.2 ★,https://media.glassdoor.com/sql/37485/drax-group-squareLogo-1616753107204.png,3.2 ★,"https://www.glassdoor.com/job-listing/data-scientist-drax-group-JV_KO0,14_KE15,25.htm?jl=1008935898454",Data Scientist,"Houston, TX",$68K - $107K (Glassdoor est.),"Ideally you will be a degree holder with a quantitative analysis background and a minimum of 2 years non-academic production data science experience, including……",(Glassdoor est.),,data,3d
Clarip1 ★,https://media.glassdoor.com/sql/3014935/clarip-squarelogo-1637063406484.png,1 ★,"https://www.glassdoor.com/job-listing/associate-general-and-data-privacy-counsel-clarip-JV_KO0,42_KE43,49.htm?jl=1008935415723",Associate General and Data Privacy Counsel,"Tysons Corner, VA",$83K - $127K (Glassdoor est.),"An active, good standing membership in at least one U.S. state bar. Work closely with graphic design and marketing teams in developing white papers and other……",(Glassdoor est.),Easy Apply,,3d
Upen Group Inc,,,"https://www.glassdoor.com/job-listing/data-scientist-junior-level-upen-group-inc-JV_KO0,27_KE28,42.htm?jl=1008938910226",Data Scientist (Junior Level),"Irving, TX",$40K - $64K (Employer est.),"The ideal candidate will have strong analytical skills, excellent attention to detail, and a desire to learn and grow in the field of data analysis.…",(Employer est.),Easy Apply,data,1d
"Sysdata Consulting, Inc",,,"https://www.glassdoor.com/job-listing/contract-senior-statistical-programmer-remote-sysdata-consulting-inc-JV_KO0,45_KE46,68.htm?jl=1008801651657",Contract Senior Statistical Programmer (Remote),Remote,$100.00 Per Hour (Employer est.),"Provide infrastructure support for internal programming team: set up and maintain standard directory, author technical user guides for utilities, draft good……",(Employer est.),Easy Apply,,30d+
Discover Financial Services3.8 ★,https://media.glassdoor.com/sql/13990/discover-squarelogo.png,3.8 ★,"https://www.glassdoor.com/job-listing/senior-principal-product-owner-machine-learning-operations-discover-financial-services-JV_KO0,58_KE59,86.htm?jl=1008815566848",Senior Principal Product Owner - Machine Learning Operations,"Riverwoods, IL",$118K - $165K (Employer est.),Partners with business technology to create technical features that are required to continuously optimize system components and underline infrastructure……,(Employer est.),,,30d+
National Security Agency3.7 ★,https://media.glassdoor.com/sql/41534/national-security-agency-squareLogo-1684171280881.png,3.7 ★,"https://www.glassdoor.com/job-listing/data-scientist-national-security-agency-JV_KO0,14_KE15,39.htm?jl=1008900386919",Data Scientist,"Fort Meade, MD",$81K - $184K (Employer est.),"A degree in a related field (e.g., Computer Information Systems, Engineering), a degree in the physical/hard sciences (e.g. physics, chemistry, biology,……",(Employer est.),,,21d
Sitewise Analytics,,,"https://www.glassdoor.com/job-listing/senior-predictive-modeler-sitewise-analytics-JV_KO0,25_KE26,44.htm?jl=1008561952893",Senior Predictive Modeler,"Dallas, TX",$90K (Employer est.),"Using a dynamic mix of machine learning approaches blended with classical statistical techniques and spatial analytics, the members of the team develop……",(Employer est.),Easy Apply,,30d+
"InnoCape, LLC",,,"https://www.glassdoor.com/job-listing/data-architect-innocape-llc-JV_KO0,14_KE15,27.htm?jl=1008821318835",Data Architect,"Norfolk, VA",,"In functional terms, the contractor will work closely with ACT’s Data Science and Artificial Intelligence (AI) Section taking guidance and joining data forums……",,Easy Apply,Data,30d+
Vanguard3.7 ★,https://media.glassdoor.com/sql/4084/vanguard-squareLogo-1612802515459.png,3.7 ★,"https://www.glassdoor.com/job-listing/data-scientist-specialist-internal-audit-ai-ml-vanguard-JV_KO0,46_KE47,55.htm?jl=1008925916406","Data Scientist, Specialist - Internal Audit AI/ML","Malvern, PA",$80K - $110K (Glassdoor est.),"Undergraduate degree in Analytics, Applied Mathematics, Economics, Statistics or related analytical field of study or equivalent combination of training and……",(Glassdoor est.),,,8d
"XRI, LLC",,,"https://www.glassdoor.com/job-listing/data-strategy-and-integration-specialist-xri-llc-JV_KO0,40_KE41,48.htm?jl=1008932771294",Data Strategy and Integration Specialist,"Clarksville, TN",$55K - $90K (Employer est.),"A bachelor's degree or higher in computer science, data science, linguistics, or a related field or equivalent experience.…",(Employer est.),Easy Apply,data,4d
National Security Agency3.7 ★,https://media.glassdoor.com/sql/41534/national-security-agency-squareLogo-1684171280881.png,3.7 ★,"https://www.glassdoor.com/job-listing/applied-research-mathematician-mathematical-statistician-national-security-agency-JV_KO0,56_KE57,81.htm?jl=1008885532101",Applied Research Mathematician/ Mathematical Statistician,"Fort Meade, MD",$81K - $142K (Employer est.),"Experience may also include, network engineering, computer science, physics, software engineering, electrical engineering.…",(Employer est.),,,28d
COGNIZE TECH SOLUTIONS2 ★,https://media.glassdoor.com/sql/3509098/cognize-tech-solutions-squarelogo-1663581355459.png,2 ★,"https://www.glassdoor.com/job-listing/data-scientist-cognize-tech-solutions-JV_KO0,14_KE15,37.htm?jl=1008930865651",Data Scientist,Remote,$65K - $80K (Employer est.)," Using tools such as Tableau, Looker and GoogleData Studio to aggregate data from across our software tools to build and develop dashboards for both client……",(Employer est.),Easy Apply,data,5d
Kraft Heinz Company3.5 ★,https://media.glassdoor.com/sql/1026712/kraft-heinz-company-squareLogo-1634232581528.png,3.5 ★,"https://www.glassdoor.com/job-listing/data-scientist-kraft-heinz-company-JV_KO0,14_KE15,34.htm?jl=1008875570545",Data Scientist,"Chicago, IL",$96K - $137K (Glassdoor est.),Deliver detailed approaches and integrating work into products and tools with an innovating team of data engineers- analysts- developers- and sometimes chefs.…,(Glassdoor est.),,data,30d+
Zencon Group,,,"https://www.glassdoor.com/job-listing/senior-machine-learning-engineer-zencon-group-JV_KO0,32_KE33,45.htm?jl=1008720306323",Senior Machine Learning Engineer,"Austin, TX",$70.00 - $80.00 Per Hour (Employer est.),"Processing, cleansing, and verifying the integrity of data used for analysis. Enhances data collection procedures to include information that is relevant for……",(Employer est.),Easy Apply,data,30d+
T-Mobile3.7 ★,https://media.glassdoor.com/sql/9302/t-mobile-squareLogo-1672454718899.png,3.7 ★,"https://www.glassdoor.com/job-listing/data-scientist-t-mobile-JV_KO0,14_KE15,23.htm?jl=1008934856084",Data Scientist,"Bellevue, WA",$107K - $145K (Employer est.),You will collaborate with a multi-disciplinary team of technical and non-technical business partners on a wide range of challenges. At least 18 years of age.…,(Employer est.),,,3d
Stingray Direct4.5 ★,https://media.glassdoor.com/sql/2154729/stingray-direct-squarelogo-1530145979658.png,4.5 ★,"https://www.glassdoor.com/job-listing/e-commerce-data-scientist-health-and-wellness-california-remote-stingray-direct-JV_KO0,63_KE64,79.htm?jl=1008912900176",E-commerce Data Scientist - Health and Wellness - California REMOTE,California,$110K - $130K (Employer est.),"Bachelor’s degree in Mathematics, Statistics, or a related field. Develop processes and tools to monitor and analyze model performance and data accuracy.…",(Employer est.),Easy Apply,data,16d
Numero Data3.9 ★,https://media.glassdoor.com/sql/1567453/numero-data-squarelogo-1510916441672.png,3.9 ★,"https://www.glassdoor.com/job-listing/data-scientist-numero-data-JV_KO0,14_KE15,26.htm?jl=1008931107370",Data Scientist,Remote,$70K - $75K (Employer est.),"Analysts must work with both IT departments and project managers to find any issues with custom software, as well as to propose and develop upgrades to deal……",(Employer est.),Easy Apply,,5d
Ease Logistics2.9 ★,https://media.glassdoor.com/sql/982997/ease-logistics-squarelogo-1465842510966.png,2.9 ★,"https://www.glassdoor.com/job-listing/senior-data-analyst-ease-logistics-JV_KO0,19_KE20,34.htm?jl=1008841362141",Senior Data Analyst,"Dublin, OH",$80K - $85K (Employer est.),Continue to drive efficiencies within existing business practices by leveraging technical knowledge of the various tools and processes.…,(Employer est.),Easy Apply,,30d+
The Nature Conservancy4.4 ★,https://media.glassdoor.com/sql/14686/the-nature-conservancy-squareLogo-1688147364169.png,4.4 ★,"https://www.glassdoor.com/job-listing/spatial-data-scientist-the-nature-conservancy-JV_KO0,22_KE23,45.htm?jl=1008936118799",Spatial Data Scientist,California,$75K - $96K (Employer est.),Master's Degree in science related field and 2 years of experience or equivalent combination of education and experience.…,(Employer est.),,,2d
Pacaso4.3 ★,https://media.glassdoor.com/sql/3834110/pacaso-squarelogo-1602018887947.png,4.3 ★,"https://www.glassdoor.com/job-listing/data-scientist-pacaso-JV_KO0,14_KE15,21.htm?jl=1008929287352",Data Scientist,Remote,,"Experience with cloud data platforms and tools (AWS preferred). Expert knowledge of data visualization tools (Tableau, Looker, Power BI, Quicksight).…",,Easy Apply,data,6d
Kickstarter.com3.4 ★,https://media.glassdoor.com/sql/491996/kickstarter-squareLogo-1636479422954.png,3.4 ★,"https://www.glassdoor.com/job-listing/data-scientist-kickstarter-com-JV_KO0,14_KE15,30.htm?jl=1008916075501",Data Scientist,Remote,$110K - $130K (Employer est.),Conduct analyses in Python/R and communicate your findings to a diverse group of product stakeholders with both technical and non-technical backgrounds.…,(Employer est.),,,13d
Whisker3.4 ★,https://media.glassdoor.com/sql/822663/whisker-squareLogo-1627394494333.png,3.4 ★,"https://www.glassdoor.com/job-listing/data-scientist-whisker-JV_KO0,14_KE15,22.htm?jl=1008815102232",Data Scientist,"Auburn Hills, MI",$81K - $124K (Glassdoor est.),"Contributes to the organization's knowledge base by sharing insights, best practices, and emerging trends in the data science field. Top of the line equipment.…",(Glassdoor est.),Easy Apply,data,30d+
Deloitte4 ★,https://media.glassdoor.com/sql/2763/deloitte-squareLogo-1674210308592.png,4 ★,"https://www.glassdoor.com/job-listing/deep-learning-data-science-manager-deloitte-JV_KO0,34_KE35,43.htm?jl=1008880664952",Deep Learning Data Science Manager,"Detroit, MI",$104K - $143K (Glassdoor est.),"You will be responsible for the technical direction of client engagements while defining the project strategy, communicating complex concepts to both technical……",(Glassdoor est.),,,30d+
Yext4.1 ★,https://media.glassdoor.com/sql/312260/yext-squareLogo-1688608303495.png,4.1 ★,"https://www.glassdoor.com/job-listing/data-scientist-yext-JV_KO0,14_KE15,19.htm?jl=1008905310796",Data Scientist,"New York, NY",$129K - $206K (Glassdoor est.),"You have an advanced degree in a quantitative field, e.g., computer science, mathematics, business analytics, statistics, applied mathematics, economics, or……",(Glassdoor est.),Easy Apply,,19d
Alaka`ina Foundation Family of Companies3.6 ★,https://media.glassdoor.com/sql/1320047/alaka-ina-foundation-squarelogo-1495794087615.png,3.6 ★,"https://www.glassdoor.com/job-listing/sr-data-architect-alaka-ina-foundation-family-of-companies-JV_KO0,17_KE18,58.htm?jl=1008127909601",Sr. Data Architect,"Albuquerque, NM",,"Develop and implement methods for, and configurations of, the Data Lake to support navigation, search, insertion, or extraction of information or files by the……",,,Data,30d+
The MITRE Corporation3 ★,https://media.glassdoor.com/sql/3976/mitre-squareLogo-1653487960881.png,3 ★,"https://www.glassdoor.com/job-listing/ai-semantics-engineer-the-mitre-corporation-JV_KO0,21_KE22,43.htm?jl=1008833265089",AI Semantics Engineer,"McLean, VA",,"We are specifically looking for talent in machine learning (including deep learning), and one or more of the following technical areas: decision science, human……",,,,30d+
Comcast3.8 ★,https://media.glassdoor.com/sql/1280/comcast-squarelogo-1552675219892.png,3.8 ★,"https://www.glassdoor.com/job-listing/mid-level-data-scientist-with-ml-dl-model-experience-comcast-JV_KO0,52_KE53,60.htm?jl=1008763923006",Mid Level Data Scientist with ML/DL Model Experience,"Philadelphia, PA",$76K - $179K (Employer est.),"Uses analytical rigor and statistical methods to analyze large amounts of data, extracting actionable insights using advanced statistical techniques such as……",(Employer est.),,data,30d+
Verdant Infotech Solutions,,,"https://www.glassdoor.com/job-listing/data-scientist-verdant-infotech-solutions-JV_KO0,14_KE15,41.htm?jl=1008797805406",Data Scientist,"Jersey City, NJ",$70.00 - $73.00 Per Hour (Employer est.),"BSc/BA in Computer Science, Mathematics, Engineering or relevant field; graduate degree in Data Science or other quantitative field is preferred.…",(Employer est.),Easy Apply,Data,30d+
SourceMantra3.7 ★,,3.7 ★,"https://www.glassdoor.com/job-listing/data-scientist-sourcemantra-JV_KO0,14_KE15,27.htm?jl=1008897323975",Data Scientist,"Reston, VA",$50.00 - $65.00 Per Hour (Employer est.),AWS knowledge/experience would be a bonus - at least demonstrated ability to learn the concepts required. Ability to understand SQL and be able to update R code……,(Employer est.),Easy Apply,,23d
Comcast3.8 ★,https://media.glassdoor.com/sql/1280/comcast-squarelogo-1552675219892.png,3.8 ★,"https://www.glassdoor.com/job-listing/cybersecurity-data-scientist-manager-comcast-JV_KO0,36_KE37,44.htm?jl=1008718128243",Cybersecurity Data Scientist Manager,"Philadelphia, PA",$97K - $226K (Employer est.),Interacts with product and field engineering teams to identify questions and issues for data analysis and experiments. Experience developing on a SaaS product.…,(Employer est.),,data,30d+
SRL Totalsource LLC2.9 ★,https://media.glassdoor.com/sql/1300150/srl-totalsource-squarelogo-1578912317875.png,2.9 ★,"https://www.glassdoor.com/job-listing/junior-data-scientist-srl-totalsource-llc-JV_KO0,21_KE22,41.htm?jl=1008937638553",Junior Data Scientist,"Waldorf, MD",$130K - $145K (Employer est.),"Assist with the development and deployment of analytical tools and custom models to observe progress, uncover insights in the data, and automate analyses.…",(Employer est.),Easy Apply,data,2d
Sallie Mae3.8 ★,https://media.glassdoor.com/sql/628/sallie-mae-squareLogo-1638451644450.png,3.8 ★,"https://www.glassdoor.com/job-listing/manager-model-validation-sallie-mae-JV_KO0,24_KE25,35.htm?jl=1008809246691","Manager, Model Validation","Newark, DE",$74K - $106K (Glassdoor est.),"5 years of experience in statistical modeling, model risk management, financial modeling, or a related field within the financial services industry.…",(Glassdoor est.),,,30d+
SAP4.3 ★,https://media.glassdoor.com/sql/10471/sap-squareLogo-1658433034046.png,4.3 ★,"https://www.glassdoor.com/job-listing/data-scientist-sap-JV_KO0,14_KE15,18.htm?jl=1008927000276",Data Scientist,"Palo Alto, CA",$130K - $146K (Employer est.),"Bachelor’s degree or foreign equivalent in Information Systems, Computer Science, Data Science, or related field and one (1) year of experience in the job……",(Employer est.),,Data,7d
"ColdSnap, Corp.4.4 ★",,4.4 ★,"https://www.glassdoor.com/job-listing/data-scientist-coldsnap-corp-JV_KO0,14_KE15,28.htm?jl=1008937667538",Data Scientist,"Billerica, MA",$80K - $112K (Glassdoor est.),"Bachelor's or master's degree in a quantitative field such as Data Science, Data Analytics, Computer Science, Statistics, Engineering, or other related……",(Glassdoor est.),Easy Apply,Data,2d
AVA Counsulting3.9 ★,https://media.glassdoor.com/sql/384955/ava-consulting-squarelogo.png,3.9 ★,"https://www.glassdoor.com/job-listing/geospatial-data-scientist-ava-counsulting-JV_KO0,25_KE26,41.htm?jl=1008937565491",Geospatial Data Scientist,"Mountain View, CA",$65.00 - $70.00 Per Hour (Employer est.),"Stay up to date on the state-of-the-art in machine learning and data analysis ideas and software, in collaboration with our Researchers.…",(Employer est.),Easy Apply,data,2d
ManTech International Corporation4.3 ★,https://media.glassdoor.com/sql/13880/mantech-squarelogo-1523555980369.png,4.3 ★,"https://www.glassdoor.com/job-listing/senior-cloud-data-analyst-hybrid-mantech-international-corporation-JV_KO0,32_KE33,66.htm?jl=1008846313075",Senior Cloud Data Analyst- Hybrid,"Chantilly, VA",$90K - $130K (Glassdoor est.),"For all positions requiring access to technology/software source code that is subject to export control laws, employment with the company is contingent on……",(Glassdoor est.),,,30d+
Axuall4.1 ★,https://media.glassdoor.com/sql/4135892/axuall-squarelogo-1647595191922.png,4.1 ★,"https://www.glassdoor.com/job-listing/data-scientist-axuall-JV_KO0,14_KE15,21.htm?jl=1008893105537",Data Scientist,Remote,,"Reporting directly to the Chief Product Officer, the role will collaborate closely with the product manager responsible for Axuall's data insights solutions to……",,Easy Apply,data,25d
Artint Knowledge Tech,,,"https://www.glassdoor.com/job-listing/data-scientist-artint-knowledge-tech-JV_KO0,14_KE15,36.htm?jl=1008881744380",Data Scientist,Remote,$50.00 - $55.00 Per Hour (Employer est.),"Initiate, design and implement innovative capabilities in the field of data science. Develop tools and methods to scientifically profile customers and customer……",(Employer est.),Easy Apply,data,30d+
IStream Solutions3.7 ★,https://media.glassdoor.com/sql/331638/istream-solutions-squarelogo-1441780912903.png,3.7 ★,"https://www.glassdoor.com/job-listing/data-scientist-istream-solutions-JV_KO0,14_KE15,32.htm?jl=1008918897901",Data Scientist,Remote,$107K - $111K (Employer est.),"Lead and act as a technical liaison between business, executives and data science teams to deliver POC’s / pilot on need basis. Master’s degree in Data science.…",(Employer est.),Easy Apply,data,12d
Zynga4.4 ★,https://media.glassdoor.com/sql/243552/zynga-squareLogo-1626208801418.png,4.4 ★,"https://www.glassdoor.com/job-listing/data-scientist-2-zynga-JV_KO0,16_KE17,22.htm?jl=1008930594080",Data Scientist 2,Remote,$105K - $155K (Employer est.),Work with the Applied AI group to ideate and design systems to support successful integration of AI techniques in a player-facing context.…,(Employer est.),,,5d
Notion4.8 ★,https://media.glassdoor.com/sql/3304926/notion-ca-squarelogo-1584681702923.png,4.8 ★,"https://www.glassdoor.com/job-listing/data-scientist-creators-notion-JV_KO0,23_KE24,30.htm?jl=1008895680182","Data Scientist, Creators","New York, NY",$160K - $215K (Employer est.),"You'll partner closely with a product, engineering, and marketing pillar at every step of the development process, driving forward data science and analytics……",(Employer est.),,data,24d
Revecore3.4 ★,https://media.glassdoor.com/sql/4553599/revecore-technologies-squareLogo-1690811314838.png,3.4 ★,"https://www.glassdoor.com/job-listing/data-scientist-revecore-JV_KO0,14_KE15,23.htm?jl=1008891048436",Data Scientist,Remote,,"Collaborative Problem Solving: Work closely with cross-functional teams, including data engineers, research & development, and business stakeholders, to……",,Easy Apply,data,25d
Indiana University Health3.4 ★,https://media.glassdoor.com/sql/390286/indiana-university-health-squarelogo-1540904929533.png,3.4 ★,"https://www.glassdoor.com/job-listing/data-scientist-%E2%80%93-is-senior-indiana-university-health-JV_KO0,26_KE27,52.htm?jl=1008530818608",Data Scientist – IS (Senior),"Indianapolis, IN",$89K - $127K (Glassdoor est.),Have willingness to dive into technical big data projects and deliver solutions (planning and technical implementation) to customers.…,(Glassdoor est.),,data,30d+
Fooda3.8 ★,https://media.glassdoor.com/sql/940329/fooda-squarelogo-1420638394699.png,3.8 ★,"https://www.glassdoor.com/job-listing/data-scientist-fooda-JV_KO0,14_KE15,20.htm?jl=1008872770274",Data Scientist,"Chicago, IL",$89K - $129K (Glassdoor est.),"You will have the ability to own analytic decision making, analysis, and data science implementation to enable Fooda to become a world-class data driven……",(Glassdoor est.),Easy Apply,data,30d+
Hertz3.2 ★,https://media.glassdoor.com/sql/4071/hertz-squarelogo-1532718392438.png,3.2 ★,"https://www.glassdoor.com/job-listing/data-scientist-rideshare-hertz-JV_KO0,24_KE25,30.htm?jl=1008746980995",Data Scientist - Rideshare,"Estero, FL",$95K (Employer est.),"Use data visualization tools to explain your results simply and succinctly to technical, non-technical, and senior audiences. 40% off any standard Hertz Rental.…",(Employer est.),,data,30d+
Parafin4.7 ★,https://media.glassdoor.com/sql/5812085/parafin-squareLogo-1629393181944.png,4.7 ★,"https://www.glassdoor.com/job-listing/data-scientist-analytics-parafin-JV_KO0,24_KE25,32.htm?jl=1008778270863","Data Scientist, Analytics","San Francisco, CA",$150K - $175K (Employer est.),"You have a bachelor's degree in statistics, engineering, math, computer science, or a related technical discipline. Experience partnering with operations teams.…",(Employer est.),Easy Apply,,30d+
EpochGeo5 ★,https://media.glassdoor.com/sql/6485357/epochgeo-squareLogo-1639097757724.png,5 ★,"https://www.glassdoor.com/job-listing/data-scientist-epochgeo-JV_KO0,14_KE15,23.htm?jl=1008932672798",Data Scientist,"Reston, VA",$130K - $175K (Employer est.),"Master’s degree in Statistics, Data Science, Mathematics, Economics, Geography, or a similar field. A bonus to have military and/or DoD/IC experience in any of……",(Employer est.),Easy Apply,Data,4d
Continental Finance Company4.5 ★,https://media.glassdoor.com/sql/277728/continental-finance-company-squarelogo-1522758567701.png,4.5 ★,"https://www.glassdoor.com/job-listing/data-scientist-continental-finance-company-JV_KO0,14_KE15,42.htm?jl=1008884762355",Data Scientist,"Wilmington, DE",$85K - $126K (Glassdoor est.),"This role focuses on the development of models, strategies, and operational guidelines for the organization's various credit card products as they relate to the……",(Glassdoor est.),Easy Apply,,29d
ADAPT Technology LLC.5 ★,https://media.glassdoor.com/sql/1788465/adapt-technology-squarelogo-1582835849981.png,5 ★,"https://www.glassdoor.com/job-listing/geospatial-data-scientist-adapt-technology-llc-JV_KO0,25_KE26,46.htm?jl=1008937513782",Geospatial Data Scientist,"Mountain View, CA",$67.00 - $77.00 Per Hour (Employer est.),"Stay up to date on the state-of-the-art in machine learning and data analysis ideas and software, in collaboration with our researchers.…",(Employer est.),Easy Apply,data,2d
ClimateAI5 ★,https://media.glassdoor.com/sql/3560034/climateai-squarelogo-1629736051804.png,5 ★,"https://www.glassdoor.com/job-listing/jr-data-scientist-climateai-JV_KO0,17_KE18,27.htm?jl=1008912403229",Jr. Data Scientist,Remote,,Develop and implement advanced methodologies based on state-of-the-art data science techniques and climate variability and change science to prepare custom……,,,data,16d
TekwissenGroup,,,"https://www.glassdoor.com/job-listing/geospatial-data-scientist-tekwissengroup-JV_KO0,25_KE26,40.htm?jl=1008937725987",Geospatial Data Scientist,"Mountain View, CA",$60.00 - $65.00 Per Hour (Employer est.),"Stay up to date on the state-of-the-art in machine learning and data analysis ideas and software, in collaboration with our Researchers.…",(Employer est.),Easy Apply,data,2d
Helix tech IT Solutions,,,"https://www.glassdoor.com/job-listing/data-scientist-helix-tech-it-solutions-JV_KO0,14_KE15,38.htm?jl=1008920639748",Data Scientist,Remote,$81K - $177K (Employer est.),"BSc/BA in Computer Science, Engineering or relevant field; graduate degree in Data Science or other quantitative field is preferred.…",(Employer est.),Easy Apply,Data,11d
Midea4.4 ★,https://media.glassdoor.com/sql/41129/guangdong-midea-squarelogo-1425975465359.png,4.4 ★,"https://www.glassdoor.com/job-listing/data-scientist-midea-JV_KO0,14_KE15,20.htm?jl=1008931707442",Data Scientist,"Parsippany, NJ",$100K - $130K (Employer est.),"Communicate complex findings and insights effectively to both technical and non-technical stakeholders. As a Data Scientist at Midea America, you will play a……",(Employer est.),Easy Apply,Data,5d
US Heathcare Product Company,,,"https://www.glassdoor.com/job-listing/data-scientist-us-heathcare-product-company-JV_KO0,14_KE15,43.htm?jl=1008928524021",Data Scientist,Remote,$131K - $141K (Employer est.),"Bachelor's degree in Computer Science, Information Systems or another applicable field is preferred. Experience deploying ML platforms and tools both on-premise……",(Employer est.),Easy Apply,,6d
"innoVet Health, LLC4 ★",https://media.glassdoor.com/sql/7575446/innovet-health-squarelogo-1660730851088.png,4 ★,"https://www.glassdoor.com/job-listing/mid-level-nlp-data-scientist-with-healthcare-experience-innovet-health-llc-JV_KO0,55_KE56,74.htm?jl=1008912816117",Mid-Level NLP Data Scientist with Healthcare experience,Remote,,"InnoVet Health, a small and growing business that provides health IT professional services to the Department of Veterans Affairs (VA) is looking for an *NLP……",,Easy Apply,,16d
Vail Resorts3.3 ★,https://media.glassdoor.com/sql/6662/vail-resorts-squarelogo-1457634420371.png,3.3 ★,"https://www.glassdoor.com/job-listing/data-scientist-remote-vail-resorts-JV_KO0,21_KE22,34.htm?jl=1008922309989",Data Scientist (Remote),Remote,$83K - $106K (Employer est.),Demonstrated ability to design data-focused solutions that support business requirements while accounting for data availability and technical implementation……,(Employer est.),Easy Apply,data,10d
DiCello Levitt LLP,,,"https://www.glassdoor.com/job-listing/senior-data-analyst-dicello-levitt-llp-JV_KO0,19_KE20,38.htm?jl=1008937685682",Senior Data Analyst,"Mentor, OH",$75K - $100K (Employer est.),"Bachelor's degree in a relevant field such as Computer Science, Statistics, or Mathematics. Familiarity with database design principles and experience working……",(Employer est.),Easy Apply,,2d
